BroadcastLogID,LogServiceID,LogDate,SequenceNO,AudienceTargetAgeID,ProgramClassID,Duration,EndTime,LogEntryDate,ProgramTitle,StartTime,AdType
1208701652,3248,1/1/18,120,2,3,00:15.0,,1/1/18,J.M. Smucker (Canada) Inc,56:26.0,Food & Beverage Products
1224409801,3205,1/1/18,460,4,3,00:15.0,,1/1/18,Smuckers,56:28.0,Food & Beverage Products
1132517457,3223,1/1/18,253,2,3,00:15.0,56:47.0,1/1/18,PepsiCo Canada ULC,56:32.0,Food & Beverage Products
1228234765,3236,1/1/18,299,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1206570372,3237,1/1/18,443,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1207025616,3239,1/1/18,491,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1207335227,3241,1/1/18,448,2,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1208702008,3248,1/1/18,476,2,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1070040320,3157,1/1/18,1004,4,3,00:15.0,57:03.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,56:48.0,Food & Beverage Products
1085288586,3221,1/1/18,364,2,3,00:30.0,57:20.0,1/1/18,3-A&W FOOD SERVICES OF CDA-Hamburger Fast Food 3rd,56:50.0,Fast Food
1132517335,3223,1/1/18,131,2,3,00:30.0,57:24.0,1/1/18,Red Lobster Management LLC.,56:54.0,Restaurants
1209152787,3250,1/1/18,583,3,3,00:30.0,,1/1/18,A & W Food Services of Canada Limited,56:56.0,Food & Beverage Products
1164492034,3206,1/1/18,404,4,3,00:15.0,57:14.0,1/1/18,CO/COKE ZERO SUG,56:59.0,Food & Beverage Products
1206570497,3237,1/1/18,568,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1207025746,3239,1/1/18,621,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1207335354,3241,1/1/18,575,2,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1208101465,3245,1/1/18,609,2,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1208702138,3248,1/1/18,606,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1209405487,3252,1/1/18,603,3,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1069862102,3193,1/1/18,244,4,3,00:30.0,57:35.0,1/1/18,14-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,57:05.0,Fast Food
1209152992,3250,1/1/18,788,3,3,00:15.0,,1/1/18,Mars Canada Inc,57:05.0,Food & Beverage Products
1241713505,3195,1/1/18,105,4,3,00:15.0,,1/1/18,DONGSUHCOFFEE,57:25.0,Food & Beverage Products
1069862324,3193,1/1/18,466,4,3,00:15.0,57:49.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,57:34.0,Fast food
1209152716,3250,1/1/18,512,3,3,00:30.0,,1/1/18,Dairy Queen Canada Inc.,57:34.0,Fast Food
1086522498,3197,1/1/18,378,4,3,00:15.0,57:50.0,1/1/18,CO/COKE ZERO SUG,57:35.0,Food & Beverage Products
1069862104,3193,1/1/18,246,4,3,00:15.0,58:05.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,57:50.0,Food & Beverage Products
1208101335,3245,1/1/18,479,2,3,00:30.0,,1/1/18,Ricola Canada,57:54.0,Food & Beverage Products
1132517883,3223,1/1/18,679,2,3,00:30.0,58:34.0,1/1/18,Red Lobster Management LLC.,58:04.0,Restaurants
1132518197,3223,1/1/18,993,2,3,00:15.0,58:32.0,1/1/18,PepsiCo Canada ULC,58:17.0,Food & Beverage Products
1241713440,3195,1/1/18,40,4,3,00:29.0,,1/1/18,WOORISUPERMARKET,58:21.0,Retail Outlets
1069862106,3193,1/1/18,248,4,3,00:15.0,58:51.0,1/1/18,2-JM SMUCKER (CANADA) INC-Hot - Beverages 3rd,58:36.0,Food & Beverage Products
1209152661,3250,1/1/18,457,3,3,00:15.0,,1/1/18,Pepsico,59:18.0,Food & Beverage Products
1221428129,3234,1/1/18,410,2,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221451392,3240,1/1/18,440,1,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221474967,3243,1/1/18,413,2,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221497456,3246,1/1/18,420,1,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221520532,3251,1/1/18,432,3,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1237176152,3228,1/1/18,720,4,3,00:15.0,00:03.0,1/1/18,GL/TUMS BURGER,59:48.0,Food & Beverage Products
1070040314,3157,1/1/18,998,3,3,00:30.0,39:47.0,1/1/18,3-LOBLAW COMPANIES LIMITED-Supermarkets 3rd,39:17.0,Retail Outlets
1070040287,3157,1/1/18,971,3,3,00:15.0,07:24.0,1/1/18,11-UNILEVER CANADA BCS COMPANY-Sauces/Condiments/S,07:09.0,Food & Beverage Products
1070040286,3157,1/1/18,970,3,3,00:30.0,07:09.0,1/1/18,14-TIM HORTONS-Fast Food 3rd,06:39.0,Fast Food
1070040265,3157,1/1/18,949,4,3,00:15.0,39:41.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,39:26.0,Food & Beverage Products
1070040259,3157,1/1/18,943,4,3,00:15.0,37:40.0,1/1/18,14-BOSTON PIZZA-Restaurant 3rd,37:25.0,Restaurants
1070040257,3157,1/1/18,941,4,3,00:15.0,36:55.0,1/1/18,11-UNILEVER CANADA BCS COMPANY-Sauces/Condiments/S,36:40.0,Food & Beverage Products
1070040244,3157,1/1/18,928,2,3,00:15.0,17:12.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,16:57.0,Food & Beverage Products
1070040235,3157,1/1/18,919,2,3,00:15.0,06:29.0,1/1/18,11-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,06:14.0,Fast Food
1070040231,3157,1/1/18,915,3,3,00:30.0,05:14.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,04:44.0,Fast Food
1070040229,3157,1/1/18,913,1,3,00:15.0,04:13.0,1/1/18,11-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,03:58.0,Diet Products & Services
1070040218,3157,1/1/18,902,4,3,00:15.0,44:09.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,43:54.0,Food & Beverage Products
1070040208,3157,1/1/18,892,2,3,00:15.0,32:49.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,32:34.0,Food & Beverage Products
1070040207,3157,1/1/18,891,2,3,00:30.0,32:34.0,1/1/18,14-TIM HORTONS-Fast Food 3rd,32:04.0,Fast Food
1070040197,3157,1/1/18,881,4,3,00:30.0,21:38.0,1/1/18,11-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,21:08.0,Diet Products & Services
1070040196,3157,1/1/18,880,4,3,00:15.0,21:08.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,20:53.0,Fast Food
1070040195,3157,1/1/18,879,4,3,00:30.0,20:52.0,1/1/18,3-GENERAL MILLS CANADA CORP-Snacks 3rd,20:22.0,Food & Beverage Products
1070040194,3157,1/1/18,878,3,3,00:30.0,20:22.0,1/1/18,3-RED LOBSTER-Restaurant 3rd,19:52.0,Restaurants
1070040187,3157,1/1/18,871,2,3,00:15.0,11:46.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,11:31.0,Food & Beverage Products
1070040186,3157,1/1/18,870,3,3,00:15.0,11:30.0,1/1/18,2-BURGER KING RESTAURANTS OF CAN-Hamburger Fast Fo,11:15.0,Fast Food
1207025990,3239,1/1/18,865,1,3,00:30.0,,1/2/18,A & W Food Services of Canada Limited,59:30.0,Food & Beverage Products
1070040173,3157,1/1/18,857,1,3,00:15.0,55:31.0,1/1/18,14-GENERAL MILLS CANADA CORP-Breakfast Products 3r,55:16.0,Food & Beverage Products
1070040169,3157,1/1/18,853,1,3,00:15.0,54:00.0,1/1/18,11-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,53:45.0,Fast Food
1208702382,3248,1/1/18,850,1,3,00:30.0,,1/2/18,A & W Food Services of Canada Limited,59:30.0,Food & Beverage Products
1070040163,3157,1/1/18,847,2,3,00:15.0,46:00.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,45:45.0,Food & Beverage Products
1070040140,3157,1/1/18,824,2,3,00:30.0,23:13.0,1/1/18,3-RED LOBSTER-Restaurant 3rd,22:43.0,Restaurants
1070040118,3157,1/1/18,802,4,3,00:15.0,45:32.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,45:17.0,Food & Beverage Products
1070040108,3157,1/1/18,792,4,3,00:15.0,32:53.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,32:38.0,Food & Beverage Products
1070040106,3157,1/1/18,790,2,3,00:15.0,32:08.0,1/1/18,18-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,31:53.0,Diet Products & Services
1070040103,3157,1/1/18,787,3,3,00:15.0,31:23.0,1/1/18,2-LITTLE CAESAR OF CANADA-Pizza Fast Food 3rd,31:08.0,Restaurants
1070040083,3157,1/1/18,767,1,3,00:15.0,05:59.0,1/1/18,2-LITTLE CAESAR OF CANADA-Pizza Fast Food 3rd,05:44.0,Restaurants
1070040063,3157,1/1/18,747,1,3,00:30.0,34:45.0,1/1/18,3-GENERAL MILLS CANADA CORP-Snacks 3rd,34:15.0,Food & Beverage Products
1070040059,3157,1/1/18,743,2,3,00:15.0,33:15.0,1/1/18,2-BURGER KING RESTAURANTS OF CAN-Hamburger Fast Fo,33:00.0,Fast Food
1070040057,3157,1/1/18,741,2,3,00:15.0,32:44.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,32:29.0,Food & Beverage Products
1070040051,3157,1/1/18,735,3,3,00:15.0,22:49.0,1/1/18,11-UNILEVER CANADA BCS COMPANY-Sauces/Condiments/S,22:34.0,Food & Beverage Products
1070040046,3157,1/1/18,730,3,3,00:30.0,21:18.0,1/1/18,3-LOBLAW COMPANIES LIMITED-Supermarkets 3rd,20:48.0,Retail Outlets
1070040038,3157,1/1/18,722,4,3,00:15.0,11:26.0,1/1/18,2-BURGER KING RESTAURANTS OF CAN-Hamburger Fast Fo,11:11.0,Fast Food
1070040027,3157,1/1/18,711,1,3,00:15.0,54:42.0,1/1/18,18-GENERAL MILLS CANADA CORP-Breakfast Products 3r,54:27.0,Food & Beverage Products
1070040016,3157,1/1/18,700,4,3,00:30.0,44:11.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,43:41.0,Fast Food
1070040004,3157,1/1/18,688,4,3,00:30.0,35:10.0,1/1/18,3-RED LOBSTER-Restaurant 3rd,34:40.0,Restaurants
1070039997,3157,1/1/18,681,2,3,00:15.0,21:25.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,21:10.0,Food & Beverage Products
1070039981,3157,1/1/18,665,2,3,00:15.0,41:17.0,1/1/18,2-LITTLE CAESAR OF CANADA-Pizza Fast Food 3rd,41:02.0,Restaurants
1070039970,3157,1/1/18,654,1,3,00:15.0,26:49.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,26:34.0,Food & Beverage Products
1070039934,3157,1/1/18,618,3,3,00:15.0,42:14.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,41:59.0,Fast Food
1070039923,3157,1/1/18,607,1,3,00:15.0,29:21.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,29:06.0,Food & Beverage Products
1070039921,3157,1/1/18,605,1,3,00:15.0,28:51.0,1/1/18,18-BOSTON PIZZA-Restaurant 3rd,28:36.0,Restaurants
1070039920,3157,1/1/18,604,3,3,00:15.0,28:35.0,1/1/18,2-LITTLE CAESAR OF CANADA-Pizza Fast Food 3rd,28:20.0,Restaurants
1070039909,3157,1/1/18,593,3,3,00:15.0,17:47.0,1/1/18,14-SUBWAY FCA TRUST-Fast Food 3rd,17:32.0,Fast Food
1070039906,3157,1/1/18,590,4,3,00:30.0,17:01.0,1/1/18,3-GENERAL MILLS CANADA CORP-Snacks 3rd,16:31.0,Food & Beverage Products
1070039896,3157,1/1/18,580,4,3,00:30.0,05:01.0,1/1/18,11-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,04:31.0,Diet Products & Services
1070039866,3157,1/1/18,550,3,3,00:15.0,18:21.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,18:06.0,Food & Beverage Products
1070039864,3157,1/1/18,548,4,3,00:15.0,17:36.0,1/1/18,3-HERSHEY CANADA INC-Candy 3rd,17:21.0,Food & Beverage Products
1070039862,3157,1/1/18,546,2,3,00:15.0,17:05.0,1/1/18,11-MARS CANADA INC-Chewing Gum 3rd,16:50.0,Food & Beverage Products
1070039853,3157,1/1/18,537,3,3,00:30.0,06:24.0,1/1/18,11-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,05:54.0,Diet Products & Services
1070039844,3157,1/1/18,528,3,3,00:15.0,41:31.0,1/1/18,11-UNILEVER CANADA BCS COMPANY-Sauces/Condiments/S,41:16.0,Food & Beverage Products
1070039842,3157,1/1/18,526,2,3,00:15.0,40:45.0,1/1/18,18-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,40:30.0,Diet Products & Services
1070039820,3157,1/1/18,504,1,3,00:15.0,17:00.0,1/1/18,11-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,16:45.0,Fast Food
1070039810,3157,1/1/18,494,4,3,00:30.0,06:32.0,1/1/18,14-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,06:02.0,Fast Food
1070039800,3157,1/1/18,484,3,3,00:15.0,51:30.0,1/1/18,11-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,51:15.0,Fast Food
1070039791,3157,1/1/18,475,4,3,00:15.0,44:19.0,1/1/18,14-UNILEVER CANADA BCS COMPANY-Sauces/Condiments/S,44:04.0,Food & Beverage Products
1070039790,3157,1/1/18,474,2,3,00:15.0,44:04.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,43:49.0,Food & Beverage Products
1070039780,3157,1/1/18,464,1,3,00:30.0,31:55.0,1/1/18,14-TIM HORTONS-Fast Food 3rd,31:25.0,Fast Food
1070039770,3157,1/1/18,454,2,3,00:15.0,19:15.0,1/1/18,11-WEIGHT WATCHERS (GROSS)-Weight Loss 3rd,19:00.0,Diet Products & Services
1070039769,3157,1/1/18,453,2,3,00:30.0,19:00.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,18:30.0,Fast Food
